分類(英),分類(中),單字,中譯,詞性,合適的教學法,
Other nouns,其他名詞,cellphone,手機,名詞,,
Other nouns,其他名詞,dream,夢,名詞,,
Other nouns,其他名詞,email,電子郵件,名詞,,
Other nouns,其他名詞,flower,花,名詞,,
Other nouns,其他名詞,fun,樂趣,名詞,,
Other nouns,其他名詞,gift,禮物,名詞,,
Other nouns,其他名詞,mail,信,名詞,,
Other nouns,其他名詞,party,派對,名詞,,
Other nouns,其他名詞,photo,照片,名詞,,
Other nouns,其他名詞,robot,機器人,名詞,,
Other nouns,其他名詞,sale,拍賣、特價,名詞,,
Other nouns,其他名詞,thing,東西、物,名詞,,
Other nouns,其他名詞,ticket,票,名詞,,
Other nouns,其他名詞,trash,垃圾,名詞,,
Other nouns,其他名詞,tree,樹,名詞,,
Other nouns,其他名詞,way,路、方向,名詞,,
Other nouns,其他名詞,word,字,名詞,,
Other verbs,其他動詞,bite,咬,動詞,,
Other verbs,其他動詞,brush,用刷子刷,動詞,,
Other verbs,其他動詞,call,打電話給...,動詞,,
Other verbs,其他動詞,close,關,動詞,,
Other verbs,其他動詞,come,來,動詞,,
Other verbs,其他動詞,cry,哭、哭泣,動詞,,
Other verbs,其他動詞,do,做,動詞,,
Other verbs,其他動詞,enjoy,享受、喜歡,動詞,,
Other verbs,其他動詞,fall,掉落,動詞,,
Other verbs,其他動詞,feel,感受、感覺,動詞,,
Other verbs,其他動詞,find,找,動詞,,
Other verbs,其他動詞,get,得到、收到,動詞,,
Other verbs,其他動詞,give,給,動詞,,
Other verbs,其他動詞,go,去、走,動詞,,
Other verbs,其他動詞,have,有,動詞,,
Other verbs,其他動詞,help,幫助,動詞,,
Other verbs,其他動詞,hit,打、碰撞,動詞,,
Other verbs,其他動詞,hope,希望,動詞,,
Other verbs,其他動詞,hurry,趕快、急忙,動詞,,
Other verbs,其他動詞,hurt,受傷,動詞,,
Other verbs,其他動詞,jump,跳,動詞,,
Other verbs,其他動詞,know,知道、認識,動詞,,
Other verbs,其他動詞,laugh,笑,動詞,,
Other verbs,其他動詞,let's,讓我們...,動詞,,
Other verbs,其他動詞,like,喜歡,動詞,,
Other verbs,其他動詞,look,看、看起來,動詞,,
Other verbs,其他動詞,love,愛、喜愛,動詞,,
Other verbs,其他動詞,make,做、製造,動詞,,
Other verbs,其他動詞,meet,遇見、會面,動詞,,
Other verbs,其他動詞,miss,想念,動詞,,
Other verbs,其他動詞,need,需要,動詞,,
Other verbs,其他動詞,open,開,動詞,,
Other verbs,其他動詞,pick up,撿起、接（人）、接（電話）,動詞,,
Other verbs,其他動詞,put,放,動詞,,
Other verbs,其他動詞,see,看見,動詞,,
Other verbs,其他動詞,show,給...看、展示,動詞,,
Other verbs,其他動詞,sit,坐下,動詞,,
Other verbs,其他動詞,sleep,睡覺,動詞,,
Other verbs,其他動詞,smell,聞起來,動詞,,
Other verbs,其他動詞,stand,站、站立,動詞,,
Other verbs,其他動詞,start,開始,動詞,,
Other verbs,其他動詞,stop,停下來,動詞,,
Other verbs,其他動詞,take,攜帶、拿取,動詞,,
Other verbs,其他動詞,tell,告訴、告知,動詞,,
Other verbs,其他動詞,thank,感謝（某人）,動詞,,
Other verbs,其他動詞,touch,觸碰,動詞,,
Other verbs,其他動詞,try,嘗試,動詞,,
Other verbs,其他動詞,wait,等、等待,動詞,,
Other verbs,其他動詞,wake,醒來、喚醒,動詞,,
Other verbs,其他動詞,walk,走路,動詞,,
Other verbs,其他動詞,want,想要,動詞,,
Other verbs,其他動詞,watch,看,動詞,,
Other verbs,其他動詞,welcome,歡迎,動詞,,
Other verbs,其他動詞,worry,擔心,動詞,,
Other adjectives,其他形容詞,cool,清涼的,形容詞,,
Other adjectives,其他形容詞,different,不一樣的,形容詞,,
Other adjectives,其他形容詞,dirty,髒的,形容詞,,
Other adjectives,其他形容詞,easy,簡單的,形容詞,,
Other adjectives,其他形容詞,favorite,最喜歡的,形容詞,,
Other adjectives,其他形容詞,fine,很好的、很不錯的,形容詞,,
Other adjectives,其他形容詞,fun,有趣的,形容詞,,
Other adjectives,其他形容詞,great,很棒的,形容詞,,
Other adjectives,其他形容詞,hard,困難的,形容詞,,
Other adjectives,其他形容詞,hot,燙的,形容詞,,
Other adjectives,其他形容詞,interesting,有趣的,形容詞,,
Other adjectives,其他形容詞,new,新的,形容詞,,
Other adjectives,其他形容詞,OK,好的,形容詞,,
Other adjectives,其他形容詞,only,僅有的,形容詞,,
Other adjectives,其他形容詞,other,其他的,形容詞,代名詞,限定詞
Other adjectives,其他形容詞,quiet,安靜的,形容詞,,
Other adjectives,其他形容詞,ready,準備好的,形容詞,,
Other adjectives,其他形容詞,right,對的,形容詞,,
Other adjectives,其他形容詞,sorry,感到抱歉的、對不起,形容詞,,
Other adjectives,其他形容詞,sure,確定的,形容詞,,
Other adjectives,其他形容詞,wet,濕的,形容詞,,
Other adjectives,其他形容詞,wonderful,很棒的、精彩的,形容詞,,
Other adverbs,其他副詞,again,再一次、又一次,副詞,,
Other adverbs,其他副詞,always,總是、永遠,副詞,,
Other adverbs,其他副詞,away,離開,副詞,,
Other adverbs,其他副詞,maybe,也許,副詞,,
Other adverbs,其他副詞,never,不曾,副詞,,
Other adverbs,其他副詞,no,不,副詞,,
Other adverbs,其他副詞,not,不、沒有,副詞,,
Other adverbs,其他副詞,OK,沒事,副詞,,
Other adverbs,其他副詞,only,唯一地,副詞,,
Other adverbs,其他副詞,really,真正地,副詞,,
Other adverbs,其他副詞,so,所以,副詞,,
Other adverbs,其他副詞,sometimes,有時候,副詞,,
Other adverbs,其他副詞,still,仍然,副詞,,
Other adverbs,其他副詞,sure,當然,副詞,,
Other adverbs,其他副詞,then,然後,接著,副詞,
Other adverbs,其他副詞,together,一起,副詞,,
Other adverbs,其他副詞,too,1. 也；2. 太...,副詞,,
Other adverbs,其他副詞,usually,通常,副詞,,
Other adverbs,其他副詞,very,非常,副詞,,
Other adverbs,其他副詞,yes,是,副詞,,
Wh-words,疑問詞,how,如何...,副詞,,
Wh-words,疑問詞,what,什麼...,代名詞,,
Wh-words,疑問詞,when,何時...,副詞,,
Wh-words,疑問詞,where,在哪裡...,副詞,,
Wh-words,疑問詞,which,哪一個...,限定詞,,
Wh-words,疑問詞,who,誰...,代名詞,,
Wh-words,疑問詞,whose,誰的...,限定詞,,
Wh-words,疑問詞,why,為什麼...,副詞,,
